Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0002305,Caddo Parish,22017,2020-10-12,NODE_0002306,Caddo Parish,22017,2020-11-10,29
NODE_0002306,Caddo Parish,22017,2020-11-10,hCoV-19/USA/LA-EVTL1949/2020,Caddo Parish,22017,2020-11-18,8
NODE_0002374,Caddo Parish,22017,2020-05-30,NODE_0002377,Caddo Parish,22017,2020-05-31,1
NODE_0002377,Caddo Parish,22017,2020-05-31,NODE_0002378,Caddo Parish,22017,2020-06-02,2
NODE_0002223,Caddo Parish,22017,2020-11-08,hCoV-19/USA/LA-EVTL1969/2020,Caddo Parish,22017,2020-11-23,15
NODE_0002378,Caddo Parish,22017,2020-06-02,NODE_0002382,Caddo Parish,22017,2020-06-04,2
NODE_0002382,Caddo Parish,22017,2020-06-04,hCoV-19/USA/LA-EVTL738/2020,Caddo Parish,22017,2020-07-16,42
NODE_0002382,Caddo Parish,22017,2020-06-04,NODE_0002383,Caddo Parish,22017,2020-06-06,2
NODE_0002485,Caddo Parish,22017,2020-12-27,hCoV-19/USA/LA-EVTL1570/2020,Caddo Parish,22017,2020-12-30,3
NODE_0002484,Caddo Parish,22017,2020-10-12,NODE_0002487,Caddo Parish,22017,2020-11-03,22
NODE_0002487,Caddo Parish,22017,2020-11-03,hCoV-19/USA/LA-EVTL1090/2020,Caddo Parish,22017,2020-11-29,26
NODE_0002455,Caddo Parish,22017,2020-09-13,hCoV-19/USA/LA-EVTL1845/2020,Caddo Parish,22017,2020-10-15,32
NODE_0002462,Claiborne Parish,22027,2020-12-25,hCoV-19/USA/LA-EVTL1512/2020,Claiborne Parish,22027,2020-12-28,3
